time;temperature_2m;relative_humidity_2m;surface_pressure;cloud_cover;direct_radiation
2026-04-26T00:00;14,9;93;1014,4;55;0,0
2026-04-26T01:00;14,5;94;1014,5;13;0,0
2026-04-26T02:00;13,8;95;1014,6;13;0,0
2026-04-26T03:00;12,9;97;1014,6;20;0,0
2026-04-26T04:00;12,5;97;1014,7;30;0,0
2026-04-26T05:00;12,3;97;1014,7;27;0,0
2026-04-26T06:00;12,2;96;1014,6;39;0,0
2026-04-26T07:00;12,2;96;1014,6;54;0,0
2026-04-26T08:00;13,1;94;1014,9;62;18,0
2026-04-26T09:00;15,9;86;1015,4;62;99,0
2026-04-26T10:00;18,3;75;1015,9;70;216,0
2026-04-26T11:00;19,6;74;1016,3;67;305,0
2026-04-26T12:00;20,5;71;1016,0;58;426,0
2026-04-26T13:00;20,8;68;1016,1;54;494,0
2026-04-26T14:00;21,2;65;1015,8;49;620,0
2026-04-26T15:00;21,4;62;1015,8;70;573,0
2026-04-26T16:00;21,5;59;1015,3;97;548,0
2026-04-26T17:00;21,0;57;1015,1;100;321,0
2026-04-26T18:00;20,4;58;1014,9;100;147,0
2026-04-26T19:00;19,9;59;1014,7;100;101,0
2026-04-26T20:00;19,1;62;1014,6;100;35,0
2026-04-26T21:00;17,8;69;1014,8;100;1,0
2026-04-26T22:00;17,0;73;1015,3;100;0,0
2026-04-26T23:00;16,6;74;1015,5;100;0,0
