time;temperature_2m;relative_humidity_2m;surface_pressure;cloud_cover;direct_radiation
2026-04-25T00:00;13,2;91;1014,8;19;0,0
2026-04-25T01:00;12,7;87;1014,8;19;0,0
2026-04-25T02:00;12,0;89;1014,8;22;0,0
2026-04-25T03:00;11,4;94;1014,4;38;0,0
2026-04-25T04:00;11,0;98;1014,7;74;0,0
2026-04-25T05:00;10,8;98;1014,5;56;0,0
2026-04-25T06:00;10,4;99;1014,6;44;0,0
2026-04-25T07:00;10,1;97;1014,6;35;0,0
2026-04-25T08:00;10,7;95;1014,8;32;20,0
2026-04-25T09:00;13,1;90;1015,0;6;140,0
2026-04-25T10:00;15,7;78;1015,3;16;328,0
2026-04-25T11:00;17,1;70;1015,6;7;496,0
2026-04-25T12:00;18,1;65;1015,2;9;618,0
2026-04-25T13:00;18,4;69;1015,2;2;692,0
2026-04-25T14:00;18,6;68;1014,9;0;778,0
2026-04-25T15:00;18,8;66;1014,8;0;765,0
2026-04-25T16:00;18,9;63;1014,3;0;697,0
2026-04-25T17:00;18,7;63;1013,9;3;589,0
2026-04-25T18:00;18,5;65;1013,6;33;421,0
2026-04-25T19:00;18,0;67;1013,8;100;203,0
2026-04-25T20:00;17,1;74;1013,9;100;30,0
2026-04-25T21:00;16,2;80;1014,2;100;0,0
2026-04-25T22:00;15,4;86;1014,6;100;0,0
2026-04-25T23:00;14,9;91;1014,7;100;0,0
